date,resource_id,resource_type,cost,usage_percent,day_of_week,day_of_month,month,is_weekend,is_idle,is_underutilized,is_optimized,is_overutilized,region,environment
2024-10-28 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.3851377029450036,100.0,0,28,10,False,False,False,False,True,us-east-1,production
2024-10-29 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.3035302720134793,100.0,1,29,10,False,False,False,False,True,eu-west-1,production
2024-10-30 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.29120660828055683,100.0,2,30,10,False,False,False,False,True,us-west-2,production
2024-10-31 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.2912087182928913,100.0,3,31,10,False,False,False,False,True,us-east-1,development
2024-11-01 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,2.8512104407549614,100.0,4,1,11,False,False,False,False,True,us-east-1,development
2024-11-02 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.04665896793230354,54.89290344976887,5,2,11,True,False,False,True,False,ap-southeast-1,production
2024-11-03 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.027405060246144208,32.24124734840495,6,3,11,True,False,True,False,False,us-east-1,production
2024-11-04 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.14100287576748025,100.0,0,4,11,False,False,False,False,True,us-west-2,production
2024-11-05 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.0,0.0,1,5,11,False,True,False,False,False,us-east-1,development
2024-11-06 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.24635639532313888,100.0,2,6,11,False,False,False,False,True,us-west-2,development
2024-11-07 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.14793751101781685,100.0,3,7,11,False,False,False,False,True,ap-southeast-1,production
2024-11-08 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.1254921518296911,100.0,4,8,11,False,False,False,False,True,ap-southeast-1,development
2024-11-09 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.0267110975580017,31.424820656472583,5,9,11,True,False,True,False,False,eu-west-1,production
2024-11-10 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.04423544826751205,52.041703844131824,6,10,11,True,False,False,True,False,us-west-2,development
2024-11-11 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.1872264483968993,100.0,0,11,11,False,False,False,False,True,ap-southeast-1,staging
2024-11-12 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.14169789372659883,100.0,1,12,11,False,False,False,False,True,eu-west-1,production
2024-11-13 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.1356418751024379,100.0,2,13,11,False,False,False,False,True,us-west-2,staging
2024-11-14 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.24614720322273,100.0,3,14,11,False,False,False,False,True,us-east-1,production
2024-11-15 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.1055611733001623,100.0,4,15,11,False,False,False,False,True,ap-southeast-1,production
2024-11-16 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.3127067039253975,100.0,5,16,11,True,False,False,False,True,eu-west-1,staging
2024-11-17 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.04744594134483354,55.81875452333358,6,17,11,True,False,False,True,False,eu-west-1,production
2024-11-18 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.091331763392069,100.0,0,18,11,False,False,False,False,True,ap-southeast-1,development
2024-11-19 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.08366751610865204,98.4323718925318,1,19,11,False,False,False,False,True,us-east-1,staging
2024-11-20 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.1925558922410554,100.0,2,20,11,False,False,False,False,True,us-east-1,development
2024-11-21 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.2312265138116723,100.0,3,21,11,False,False,False,False,True,eu-west-1,development
2024-11-22 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.19073569527696388,100.0,4,22,11,False,False,False,False,True,eu-west-1,development
2024-11-23 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.03404854252749593,40.05710885587756,5,23,11,True,False,True,False,False,us-west-2,development
2024-11-24 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.03140023922698496,36.94145791409995,6,24,11,True,False,True,False,False,us-east-1,production
2024-11-25 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.26209870515624806,100.0,0,25,11,False,False,False,False,True,us-west-2,staging
2024-11-26 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.457161348513655,100.0,1,26,11,False,False,False,False,True,us-east-1,production
2024-11-27 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.362951271746619,100.0,2,27,11,False,False,False,False,True,us-east-1,staging
2024-11-28 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.27180922532089496,100.0,3,28,11,False,False,False,False,True,eu-west-1,staging
2024-11-29 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,2.040355570471277,100.0,4,29,11,False,False,False,False,True,eu-west-1,production
2024-11-30 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.07998252732836567,94.09709097454784,5,30,11,True,False,False,False,True,eu-west-1,staging
2024-12-01 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.048471065673953116,57.02478314582719,6,1,12,True,False,False,True,False,us-west-2,development
2024-12-02 14:49:39.192634,CloudFront-CDN-000,CloudFront-CDN,0.23240684272327414,100.0,0,2,12,False,False,False,False,True,eu-west-1,development
